"ID","fireCycle","Zone_LN","scenario","period"
1,44,"G1","baseline","2011-2040"
2,59,"G2","baseline","2011-2040"
3,67,"G3","baseline","2011-2040"
4,94,"G4","baseline","2011-2040"
5,183,"G5","baseline","2011-2040"
6,272,"G6","baseline","2011-2040"
7,395,"G7","baseline","2011-2040"
8,712,"G8","baseline","2011-2040"
9,1668,"G9","baseline","2011-2040"
10,8167,"G10","baseline","2011-2040"
1,58,"G1","RCP85","2011-2040"
2,58,"G2","RCP85","2011-2040"
3,58,"G3","RCP85","2011-2040"
4,58,"G4","RCP85","2011-2040"
5,58,"G5","RCP85","2011-2040"
6,58,"G6","RCP85","2011-2040"
7,58,"G7","RCP85","2011-2040"
8,58,"G8","RCP85","2011-2040"
9,58,"G9","RCP85","2011-2040"
10,58,"G10","RCP85","2011-2040"
1,44,"G1","baseline","2041-2070"
2,59,"G2","baseline","2041-2070"
3,67,"G3","baseline","2041-2070"
4,94,"G4","baseline","2041-2070"
5,183,"G5","baseline","2041-2070"
6,272,"G6","baseline","2041-2070"
7,395,"G7","baseline","2041-2070"
8,712,"G8","baseline","2041-2070"
9,1668,"G9","baseline","2041-2070"
10,8167,"G10","baseline","2041-2070"
1,32,"G1","RCP85","2041-2070"
2,32,"G2","RCP85","2041-2070"
3,32,"G3","RCP85","2041-2070"
4,32,"G4","RCP85","2041-2070"
5,32,"G5","RCP85","2041-2070"
6,32,"G6","RCP85","2041-2070"
7,32,"G7","RCP85","2041-2070"
8,32,"G8","RCP85","2041-2070"
9,32,"G9","RCP85","2041-2070"
10,32,"G10","RCP85","2041-2070"
